tipoEnvio;dataBase;cnpjIf;id;cpf;cnpj;valorADevolver;codOrigem;infAdicionais;modalidadePagamento
I;202206;149299;IDaleatorio00001;11122233399;;82;10;ag 1234 cc 1154001;91
I;202206;38166;IDaleatorio00002;;1,12E+13;15029,5;40;Tarifa: Abertura de conta;92
I;202206;38166;IDaleatorio00003;99988877700;;751,04;51;bla bla;93
I;202206;38166;IDaleatorio00004;12345678901;;751,04;51;bla bla;94
I;202206;38166;IDaleatorio00005;99988877700;;15,12;60;bla bla;95
I;202206;38166;IDaleatorio00006;12345678901;;51,87;61;bla bla;96
I;202206;38166;IDaleatorio00007;90357878469;;210676,48;60;bla bla;97
I;202206;38166;IDaleatorio00008;53710603676;;983778,71;40;bla bla;98
I;202206;38166;IDaleatorio00009;20249694883;;3591938,42;10;bla bla;91
I;202206;38166;IDaleatorio000010;28143884287;;805132,84;60;bla bla;92
I;202206;38166;IDaleatorio000011;30496631110;;2624159,99;10;bla bla;93
I;202206;38166;IDaleatorio000012;41438259450;;614053,63;51;bla bla;94
I;202206;38166;IDaleatorio000013;87180461180;;136704,77;60;bla bla;95
I;202206;38166;IDaleatorio000014;26009039681;;1995743;60;bla bla;96
I;202206;38166;IDaleatorio000015;56870174539;;3176232,31;50;bla bla;97
I;202206;38166;IDaleatorio000016;75064226462;;983561,49;11;bla bla;98
I;202206;38166;IDaleatorio000017;31883668689;;142418,69;10;bla bla;91
I;202206;149299;IDaleatorio000018;42728916187;;2110402,54;51;bla bla;92
I;202206;38166;IDaleatorio000019;75715196833;;1427185,49;10;bla bla;93
I;202206;38166;IDaleatorio000020;42895223513;;3604702,34;61;bla bla;94
I;202206;38166;IDaleatorio000021;285502182;;10462,87;61;bla bla;95
I;202206;38166;IDaleatorio000022;42289628824;;929500,97;11;bla bla;96
I;202206;38166;IDaleatorio000023;32472193742;;3476608,78;40;bla bla;97
I;202206;38166;IDaleatorio000024;86705089318;;2070699,21;50;bla bla;98
I;202206;38166;IDaleatorio000025;948016140;;2743309,51;61;bla bla;91
I;202206;38166;IDaleatorio000026;36943163965;;2735952,33;60;bla bla;92
I;202206;38166;IDaleatorio000027;97441412129;;1386498,81;11;bla bla;93
I;202206;38166;IDaleatorio000028;4704355691;;3773766,07;50;bla bla;94
I;202206;38166;IDaleatorio000029;93248055170;;765434,76;40;bla bla;95
I;202206;38166;IDaleatorio000030;2621614515;;3721662,12;11;bla bla;96
I;202206;38166;IDaleatorio000031;99550871533;;514069,1;50;bla bla;97
I;202206;38166;IDaleatorio000032;77857909653;;332192,81;50;bla bla;98
I;202206;38166;IDaleatorio000033;80180951246;;3394119,86;51;bla bla;91
I;202206;38166;IDaleatorio000034;16960865662;;1535681,31;61;bla bla;92
I;202206;38166;IDaleatorio000035;33563278792;;3989049,03;10;bla bla;93
I;202206;38166;IDaleatorio000036;74049956047;;3875320,68;40;bla bla;94
I;202206;38166;IDaleatorio000037;60023849100;;3390280,19;10;bla bla;95
I;202206;38166;IDaleatorio000038;96634893241;;1689505,33;50;bla bla;96
I;202206;38166;IDaleatorio000039;17068413960;;2502102,84;10;bla bla;97
I;202206;38166;IDaleatorio000040;92996031032;;72736,42;10;bla bla;98
I;202206;38166;IDaleatorio000041;34541686350;;1598643,95;11;bla bla;91
I;202206;38166;IDaleatorio000042;13236727454;;2378087,97;10;bla bla;92
I;202206;38166;IDaleatorio000043;45619732495;;2917428,39;40;bla bla;93
I;202206;38166;IDaleatorio000044;53541019301;;2099720,83;10;bla bla;94
I;202206;38166;IDaleatorio000045;10044388691;;3885146,87;61;bla bla;95
I;202206;38166;IDaleatorio000046;29982445480;;1702207,57;61;bla bla;96
I;202206;38166;IDaleatorio000047;18964809343;;1221884,77;11;bla bla;97
I;202206;38166;IDaleatorio000048;49385115090;;2055870,02;50;bla bla;98
I;202206;38166;IDaleatorio000049;80839847440;;283536,19;10;bla bla;91
I;202206;38166;IDaleatorio000050;2885830786;;941324,71;40;bla bla;92
I;202206;38166;IDaleatorio000051;96235409494;;3477328,83;61;bla bla;93
I;202206;38166;IDaleatorio000052;12635846081;;2333899,22;10;bla bla;94
I;202206;38166;IDaleatorio000053;34433575127;;3934801,89;61;bla bla;95
I;202206;38166;IDaleatorio000054;34420156775;;1254777,39;61;bla bla;96
I;202206;38166;IDaleatorio000055;53957928052;;285166,32;10;bla bla;97
I;202206;38166;IDaleatorio000056;47152113602;;1626585,93;61;bla bla;98
I;202206;38166;IDaleatorio000057;39222901916;;3979183,68;10;bla bla;91
I;202206;38166;IDaleatorio000058;84213837955;;906052,97;61;bla bla;92
I;202206;38166;IDaleatorio000059;82178612423;;3944903,1;60;bla bla;93
